"HOUSING_MODEL$coefficients" "NAME"
"CITYBethanie" -82644.9877091383 "CITYBethanie"
"CITYBiencourt" -143125.732479909 "CITYBiencourt"
"CITYBlack Lake" -107435.034449592 "CITYBlack Lake"
"CITYBlainville" 67127.4695491837 "CITYBlainville"
"CITYBlue Sea" -12856.8374507431 "CITYBlue Sea"
"CITYBoileau" -46884.8155979789 "CITYBoileau"
"CITYBois-Des-Filion" 53225.8727323167 "CITYBois-Des-Filion"
"CITYBoisbriand" 64015.7946919922 "CITYBoisbriand"
"CITYBoischatel" 29901.8257666708 "CITYBoischatel"
"CITYBolton-Est" 56107.1986393262 "CITYBolton-Est"
"CITYBolton-Ouest" 46380.5521410884 "CITYBolton-Ouest"
"CITYBonaventure" -50760.7896065863 "CITYBonaventure"
"CITYBonsecours" -12440.8498143756 "CITYBonsecours"
"CITYBoucherville" 143889.513385311 "CITYBoucherville"
"CITYBouchette" -63222.8452156627 "CITYBouchette"
"CITYBowman" -88007.4303915208 "CITYBowman"
"CITYBreakeyville" 10997.9057088628 "CITYBreakeyville"
"CITYBrébeuf" -23471.9517426268 "CITYBrébeuf"
"CITYBrigham" -23749.6027986461 "CITYBrigham"
"CITYBrome" 179155.363391307 "CITYBrome"
"CITYBromont" 78572.4024392494 "CITYBromont"
"CITYBrossard" 133391.881468156 "CITYBrossard"
"CITYBrownsburg-Chatham" -70750.8289961746 "CITYBrownsburg-Chatham"
"CITYBryson" -131142.860776591 "CITYBryson"
"CITYBuckland" -126571.350735588 "CITYBuckland"
"CITYBury" -64942.3037221915 "CITYBury"
"CITYCabano" -68528.8195638114 "CITYCabano"
"CITYCacouna" -72136.078411987 "CITYCacouna"
"CITYCalixa-Lavallee" 43006.7547560174 "CITYCalixa-Lavallee"
"CITYCampbells Bay" -122354.116772547 "CITYCampbells Bay"
"CITYCandiac" 118542.169977942 "CITYCandiac"
"CITYCantley" 43604.1441886691 "CITYCantley"
"CITYCanton de Stanstead" -29623.9796605544 "CITYCanton de Stanstead"
"CITYCanton-de-Hatley" 38077.3219065297 "CITYCanton-de-Hatley"
"CITYCap-Chat" -139677.416757134 "CITYCap-Chat"
"CITYCap-D'Espoir" -129430.15639036 "CITYCap-D'Espoir"
"CITYCap-Rouge" 83222.74607428 "CITYCap-Rouge"
"CITYCap-Santé" -60516.0351092546 "CITYCap-Santé"
"CITYCap-St-Ignace" -94953.0456033992 "CITYCap-St-Ignace"
"CITYCaplan" -120187.797666323 "CITYCaplan"
"CITYCarignan" 96164.1440385617 "CITYCarignan"
"CITYCarleton-sur-Mer" -51217.9607886428 "CITYCarleton-sur-Mer"
"CITYCarleton-sur-Mer (St-Omer)" -93285.9132665379 "CITYCarleton-sur-Mer (St-Omer)"
"CITYCascapedia-St-Jules" -55351.0228278037 "CITYCascapedia-St-Jules"
"CITYCausapscal" -120990.274003747 "CITYCausapscal"
"CITYCayamant" -152268.277151295 "CITYCayamant"
"CITYChambly" 79197.1164568731 "CITYChambly"
"CITYChambord" -78983.9494335679 "CITYChambord"
"CITYChamplain" -64250.0583777618 "CITYChamplain"
"CITYChandler" -77556.484281489 "CITYChandler"
"CITYChapais" -194235.307391323 "CITYChapais"
"CITYChapeau" -124699.376333521 "CITYChapeau"
"CITYCharette" -141361.065626464 "CITYCharette"
"CITYCharlemagne" 31997.0017804697 "CITYCharlemagne"
"CITYCharlesbourg" 26869.8865606748 "CITYCharlesbourg"
"CITYCharlesbourg (ND-Des-Laurentides)" -12035.6269795667 "CITYCharlesbourg (ND-Des-Laurentides)"
"CITYCharny" 7633.90332224853 "CITYCharny"
"CITYChartierville" -138836.888944981 "CITYChartierville"
"CITYChâteau-Richer" -22304.2120927972 "CITYChâteau-Richer"
"CITYChateauguay" 33479.3923651798 "CITYChateauguay"
"CITYChelsea" 145856.177822794 "CITYChelsea"
"CITYChénéville" -82894.856574214 "CITYChénéville"
"CITYChertsey" -51528.9387949339 "CITYChertsey"
"CITYChesterville" -71167.0235645358 "CITYChesterville"
"CITYChibougamau" -78149.529750792 "CITYChibougamau"
"CITYChicoutimi" -2322.43128141369 "CITYChicoutimi"
"CITYChicoutimi (Canton Tremblay)" -91007.3635720621 "CITYChicoutimi (Canton Tremblay)"
"CITYChicoutimi (Chicoutimi-Nord)" -87284.8603699579 "CITYChicoutimi (Chicoutimi-Nord)"
"CITYChicoutimi (Chicoutimi)" -48084.0639116891 "CITYChicoutimi (Chicoutimi)"
"CITYChicoutimi (Laterrière)" -51462.8639685098 "CITYChicoutimi (Laterrière)"
